,Unnamed: 0,Depth,Test,size,Max,Features,Samples,Accuracy,Dataset Time,Training Time,Total Time
20,20,59,,0.25,,None,210000,0.8470360382485902,138.93247730302392,83.37304863499594,224.1853120099986
21,21,65,,0.25,,None,220000,0.8430537433811748,138.47270865700557,87.8554707110161,228.22812198501202
22,22,64,,0.25,,None,230000,0.8380474755466456,138.435840791004,93.0068600960076,233.3367075290007
23,23,59,,0.25,,None,240000,0.8500471587550089,139.1475389339903,97.30101558900787,238.34880438097755
24,24,55,,0.25,,None,250000,0.8533454716795477,139.24991049998792,100.47151807299817,241.6135012389859
25,25,65,,0.25,,None,260000,0.8472824317438019,139.0880712000071,108.90880123100942,249.89809771999717
26,26,65,,0.25,,None,270000,0.8572165694825656,137.2851585620083,113.22379842598455,252.40546594900658
27,27,60,,0.25,,None,280000,0.8423257625998674,137.32558750198223,115.42610445400352,254.65289147300064
28,28,56,,0.25,,None,290000,0.8513783236122566,138.13120549402083,121.1349561259849,261.1832204459934
29,29,71,,0.25,,None,300000,0.8391402466974872,137.60336754700984,126.17351830098778,265.6467422050191
30,30,57,,0.25,,None,310000,0.8444577063165533,137.49475539798732,133.17356880300213,272.5643027079932
31,31,62,,0.25,,None,320000,0.861815648066891,138.33260379100102,139.0485862630012,279.310040434997
32,32,77,,0.25,,None,330000,0.8470064390300096,138.82881911000004,148.1050479010155,288.85537569399463
33,33,69,,0.25,,None,340000,0.8580309479829733,139.09704799597966,154.80799089898937,295.8441035870055
34,34,61,,0.25,,None,350000,0.8524078964315343,137.40728491399204,156.53918951400556,295.89906886700186
35,35,65,,0.25,,None,360000,0.8661483336839907,138.0155269280076,160.54035632801242,300.45855284799467
36,36,64,,0.25,,None,370000,0.8537094620702014,137.9879541269911,167.3257547490066,307.2701035149803
37,37,66,,0.25,,None,380000,0.856004601478521,138.57478091400117,172.92913239498742,313.5011019160156
38,38,69,,0.25,,None,390000,0.8660771355636211,138.12530569601222,176.24269833002472,316.3401742040005
39,39,66,,0.25,,None,400000,0.860674878183216,137.83067944599316,183.7563133669901,323.5190513230045
40,40,67,,0.25,,None,410000,0.866825915795823,138.144766494981,187.48217682199902,327.5589707559848
41,41,69,,0.25,,None,420000,0.8649995640115101,138.45757977900215,194.0135552000138,334.40408519099583
42,42,67,,0.25,,None,430000,0.8537230617111708,137.74651989899576,201.52297180300232,341.23111186700413
43,43,64,,0.25,,None,440000,0.8651995587316494,139.32988701399879,203.71526935801376,345.0329362070188
44,44,69,,0.25,,None,450000,0.8534558687650646,138.99158983901725,211.56303391899561,352.51425355899846
45,45,63,,0.25,,None,460000,0.8449808925044379,139.15296304397634,216.90466227100117,358.0179358259775
46,46,60,,0.25,,None,470000,0.8709810061014389,138.0907630599977,222.6958590639988,362.7325200839841
47,47,65,,0.25,,None,480000,0.8644883775068338,137.42526302998886,229.65392062600586,369.0366615630046
48,48,68,,0.25,,None,490000,0.8547494346149261,137.48154653501115,234.27861583797488,373.6768873770196
49,49,63,,0.25,,None,500000,0.8702138263549842,138.06536547699943,236.94858724699588,376.9640450089937
50,50,60,,0.25,,None,510000,0.870662614506977,138.42509851101204,243.75702534499575,384.12684391700896
51,51,70,,0.25,,None,520000,0.8618252478134577,138.14704817798338,255.44436401099662,395.54521285399096
52,52,72,,0.25,,None,530000,0.8676306945496639,137.62627288600194,264.62042565399315,404.1789560769976
53,53,69,,0.25,,None,540000,0.8676714934725723,139.01455728698056,269.0555453309789,410.0551558299922
54,54,71,,0.25,,None,550000,0.8582989409079599,137.2184123719926,271.39017245499423,410.5629715959949
55,55,69,,0.25,,None,560000,0.8601140929879452,139.2828759379918,284.0871388749802,425.3879253769992
56,56,68,,0.25,,None,570000,0.8479072152495174,139.09422604201245,286.0009950130188,427.0757256319921
57,57,73,,0.25,,None,580000,0.8739033289521156,139.1282140930125,294.21674059599167,435.5124728950032
58,58,72,,0.25,,None,590000,0.8662611307061494,138.25925986698712,302.04242919699755,442.28591851401137
59,59,77,,0.25,,None,600000,0.8685586700511106,138.99679320299765,304.14745105197653,445.1306193460186
60,60,76,,0.25,,None,610000,0.8730665510430524,137.5625747560116,311.18034900698694,450.7145374279935
61,61,73,,0.25,,None,620000,0.867972285531662,138.04752455398557,314.2432064489985,454.277608103992
62,62,71,,0.25,,None,630000,0.8768552510213731,137.45334641900266,318.58376145499636,458.0116794079949
63,63,73,,0.25,,None,640000,0.8683146764925406,138.98180737401708,331.29804732100456,472.2651466430106
64,64,71,,0.25,,None,650000,0.8768112521829424,138.172957999981,332.29880706599215,472.4482974509883
65,65,74,,0.25,,None,660000,0.8705162183718349,137.31600209101452,341.7207539580122,481.00495987001335
66,66,74,,0.25,,None,670000,0.8674850983934024,138.60275466900202,338.46940202297986,479.04376199500985
67,67,82,,0.25,,None,680000,0.8713201971467953,137.36346043701633,347.52675145299867,486.8776936770009
68,68,74,,0.25,,None,690000,0.8752688929012274,137.3125604900124,360.27909710697713,499.6197986960178
69,69,48,,0.25,,None,100000,0.8231534687484251,325.6095044759859,34.55114836501889,362.1418417230016
70,70,60,,0.25,,None,200000,0.8384282654937909,138.98552567901785,76.0934610220138,216.9323710000026
71,71,71,,0.25,,None,300000,0.8416945792631074,139.88369269800023,127.23558085798868,269.0404144410277
72,72,66,,0.25,,None,400000,0.8584509368952661,138.21433668100508,183.72552647901463,323.88578117699944
73,73,67,,0.25,,None,500000,0.8624860303687982,137.76894856098806,238.434322732006,378.1273568290053
74,74,77,,0.25,,None,600000,0.8679170869889035,139.12648285998148,303.01923579699366,444.13243694699486
75,75,67,,0.25,,None,700000,0.86494196553211,138.64008577397908,357.95117100002244,498.5852655899944
76,76,81,,0.25,,None,800000,0.8608836726710415,138.59383870998863,429.0112802759977,569.5893356719753
77,77,91,,0.25,,None,900000,0.8723001712754783,138.09338901302544,493.9126834130148,633.9946861750212
78,78,83,,0.25,,None,1000000,0.8777192282123752,137.80424902497907,559.1804272959998,699.0136626219901
79,79,76,,0.25,,None,1100000,0.8776136310001416,138.3995678020001,630.776658154995,771.2321542919963
80,80,86,,0.25,,None,1200000,0.8836686711470817,138.45271470601438,724.3360462699783,864.8609092040277
81,81,93,,0.25,,None,1300000,0.8817151227207601,138.02346193199628,824.0462443880098,964.1307481309924
82,82,97,,0.25,,None,1400000,0.8837398692674513,137.6805245220021,875.0995307839768,1014.8188768349936
83,83,96,,0.25,,None,1500000,0.8839670632695297,139.33916247900922,960.5067612309939,1101.968128379027
84,84,97,,0.25,,None,1600000,0.8864517976725415,139.24779905300238,1060.6348719150121,1202.0315729080173
85,85,89,,0.25,,None,1700000,0.8908132825293412,138.27796612298698,1111.2791325309954,1251.6433858769888
86,86,84,,0.25,,None,1800000,0.8907284847680021,138.15252763600438,1187.942184271,1328.194453389995
87,87,88,,0.25,,None,1900000,0.893527610871073,138.24515543799498,1275.785185497021,1416.1248169629835
88,88,95,,0.25,,None,2000000,0.8914236664152067,137.76930380699923,1376.552064673015,1516.4289379460095
89,89,96,,0.25,,None,2100000,0.8960747436267682,138.82127189301536,1451.0409541850095,1591.9769781720242
90,90,98,,0.25,,None,2200000,0.8975627043446053,138.24273488699689,1537.4803013990168,1677.8685054419914
91,91,96,,0.25,,None,2300000,0.8944899854643837,137.71963069599587,1592.0007758029972,1731.8490248080054
92,92,35,,0.25,,None,10000,0.7663797675741361,280.2252892520046,1.9452874919807075,283.85359246999724
93,93,39,,0.25,,None,20000,0.7921646868522672,139.2992511870107,4.231217384018237,145.26939780102109
94,94,39,,0.25,,None,30000,0.8002628730601512,138.39801871700908,7.182802795985482,147.2869575789955
95,95,43,,0.25,,None,40000,0.8059675224574071,139.43395560301724,11.142177159024868,152.31552508301684
96,96,47,,0.25,,None,50000,0.8158352619490845,138.69443784301984,14.187750795012107,154.61790818700683
97,97,46,,0.25,,None,60000,0.8107105972402329,139.63446658299654,17.32750072100316,158.75347610699828
98,98,48,,0.25,,None,70000,0.8241966412086721,138.8714822680049,21.29031603600015,161.92841754600522
99,99,47,,0.25,,None,80000,0.8199295538597781,139.59034686599622,25.31984416898922,166.73667334701167
100,10,43,,0.25,,None,90000,0.8341595781871358,139.32069606299046,30.023963635001564,171.15662539299228
101,10,48,,0.25,,None,100000,0.8269645681354012,139.3623760170012,34.20511593300034,175.3965277459938
102,10,53,,0.25,,None,110000,0.8411417938566422,138.4747845089878,37.4672198779881,177.75869176498963
103,10,52,,0.25,,None,120000,0.8388930532233949,138.7810873540002,42.76457959998515,183.43215282500026
104,10,56,,0.25,,None,130000,0.8272509605746409,138.1179076859844,44.96914992900565,184.89854153900524
105,10,50,,0.25,,None,140000,0.8378138817135228,139.17514794701128,49.40460668201558,190.4505293740076
106,10,54,,0.25,,None,150000,0.8396562330754468,137.55462930901558,55.6210017889971,195.0155850269948
107,10,46,,0.25,,None,160000,0.8375554885351026,138.31622731301468,57.74058974199579,197.95762367499992
108,10,57,,0.25,,None,170000,0.8343371734986197,139.51226477598541,63.50963570000022,204.91959514000337
109,10,57,,0.25,,None,180000,0.8467048469920394,139.1393612769898,68.6941239599837,209.70973796900944
110,11,55,,0.25,,None,190000,0.8508599372976553,139.25152826699195,72.70484635300818,213.83241638698382
111,11,60,,0.25,,None,200000,0.8392274443954679,139.01388353199582,76.55590271498659,217.47730543499347
112,11,59,,0.25,,None,210000,0.8470360382485902,138.93247730302392,83.37304863499594,224.1853120099986
113,11,65,,0.25,,None,220000,0.8430537433811748,138.47270865700557,87.8554707110161,228.22812198501202
114,11,64,,0.25,,None,230000,0.8380474755466456,138.435840791004,93.0068600960076,233.3367075290007
