,Unnamed: 0,Max,Depth,Test,size,Accuracy,Dataset Time,Training Time,Total Time
59,59,,6,,0.3,0.6849933333333333,4.4764017667621365,47.347723951563246,52.01224070042372
60,60,,7,,0.3,0.8693733333333333,4.2259642854332915,56.02954931743442,60.443002227693796
61,61,,7,,0.3,0.8032733333333333,4.250269023701549,54.891971366479986,59.33069087937474
62,62,,7,,0.3,0.79996,4.283194312825799,54.91282318346202,59.384869558736675
63,63,,7,,0.3,0.8080266666666667,4.300587357953192,54.29268361628056,58.78160658292472
64,64,,7,,0.3,0.76878,4.330018909648061,53.89469355531036,58.41370776109397
65,65,,7,,0.3,0.7417866666666667,4.372041521593928,54.173854688182466,58.736040640622385
66,66,,7,,0.3,0.7283066666666667,4.391421793028711,53.83703744225203,58.41822245903314
67,67,,7,,0.3,0.7265,4.407413512468338,53.99944350495935,58.59623536840081
68,68,,7,,0.3,0.72688,4.436755504459144,54.30744880251586,58.9334893450141
69,69,,7,,0.3,0.7048466666666666,4.460693506523967,53.95152237638831,58.602694038301706
70,70,,8,,0.3,0.88494,4.252085318788886,62.33689810149372,66.77659760788083
71,71,,8,,0.3,0.8196266666666666,4.2557896077632895,62.430763492360704,66.87602584064007
72,72,,8,,0.3,0.8188066666666667,4.310094427317382,60.65790981985629,65.1584291998297
73,73,,8,,0.3,0.82862,4.395358692854643,60.83708212152124,65.42254029586911
74,74,,8,,0.3,0.7860133333333333,4.3321784157305965,60.19646642170847,64.71955088712275
75,75,,8,,0.3,0.7619666666666667,4.362103719264268,60.277833554893725,64.83119650743902
76,76,,8,,0.3,0.7501,4.391574019566178,60.11367719061672,64.69573532603681
77,77,,8,,0.3,0.74226,4.415142124518752,60.43135164678097,65.037058474496
78,78,,8,,0.3,0.7429666666666667,4.4389490988105536,61.31636960245668,65.94564303942025
79,79,,8,,0.3,0.7231466666666667,4.491923497989773,60.91104032099247,65.5946584995836
80,80,,9,,0.3,0.8986666666666666,4.255430243909359,68.87847325019538,73.32156410440804
81,81,,9,,0.3,0.8370000000000001,4.287295030429958,67.65642202831805,72.1353716738522
82,82,,9,,0.3,0.8359,4.280645407736301,66.7399235535413,71.21220775693655
83,83,,9,,0.3,0.84478,4.306133650243281,67.01069406792521,71.50689120404422
84,84,,9,,0.3,0.8046266666666667,4.327587177976967,66.19710322283208,70.71453371830285
85,85,,9,,0.3,0.7770133333333333,4.468174897134303,66.19759778864682,70.85835169069469
86,86,,9,,0.3,0.7658666666666667,4.379423324018717,66.19760936126113,70.76905906014144
87,87,,9,,0.3,0.7582266666666667,4.419126346707343,66.29731976427138,70.90872064232826
88,88,,9,,0.3,0.7571666666666667,4.441398037597537,66.5891234241426,71.22176522947848
89,89,,9,,0.3,0.7358866666666667,4.4565539453178635,66.21732640266417,70.86653533205391
90,90,,1,,0.3,0.61106,4.405884563922882,8.75563258677721,13.34266446903348
