,Unnamed: 0,Depth,Test,size,Max_Features,Accuracy,Dataset Time,Training Time,Total Time
170,17,13,,0.25,151,0.9056776901089812,135.5922572419804,932.6583076569949,1069.8711447780079
171,17,13,,0.25,161,0.9028201655476296,135.66106636999757,998.464886404021,1135.760812952998
172,17,13,,0.25,171,0.9045921187680646,135.6248114339833,1053.6733019749809,1190.9419780460014
173,17,13,,0.25,181,0.9026921689267404,136.53237822899246,1118.0785048660182,1256.254101648985
174,17,13,,0.25,191,0.9055408937204058,135.3916499800107,1180.7912749600073,1317.8657756410248
175,17,23,,0.25,1,0.5455655970682374,135.02935376597452,20.19114942001761,156.85780783699008
176,17,30,,0.25,1,0.5992865788343188,319.2540946719819,24.85162814499927,345.88773562299315
177,17,30,,0.25,21,0.8591693179300066,138.94644744400284,233.63069305999667,374.6126571810164
178,17,30,,0.25,41,0.8941435946091023,137.89661121400422,416.4638058120036,556.3581048869819
179,17,30,,0.25,61,0.9054448962547388,138.64549143699696,636.8185996630053,777.4756316260028
180,18,30,,0.25,81,0.910887152579172,139.4333819670137,845.6266862610063,987.1389559710224
181,18,30,,0.25,101,0.9113087414492256,138.2804115519975,1066.1465325900062,1206.4599562989895
182,18,30,,0.25,121,0.915468631628125,137.72179344200413,1260.3071670969948,1400.0125440399859
183,18,30,,0.25,141,0.9140598688194632,138.3092941759969,1474.971240579005,1615.3190076279861
184,18,30,,0.25,161,0.9167229985128392,137.83766925201053,1709.004287462012,1848.8448619990088
185,18,30,,0.25,181,0.9156718262637866,137.8523357460217,1872.6110424539947,2012.4731650360047
186,18,40,,0.25,1,0.6011129306186317,139.33866113499968,28.72002188599436,170.18219895701625
187,18,40,,0.25,21,0.8532742735591781,138.88850268200622,238.02987398899862,379.1200156830018
188,18,40,,0.25,41,0.8906548867109908,137.3089567119896,469.8840990269964,609.2778579769948
189,18,40,,0.25,61,0.902853764660613,139.11002459700103,709.2827617790027,850.5357792540162
190,19,40,,0.25,81,0.9061008789367959,138.20545966899954,977.5679213169788,1117.8870002239998
191,19,40,,0.25,101,0.907977629390584,138.24074822600232,1217.4327358570008,1357.841959804995
192,19,40,,0.25,121,0.9106047600343352,138.19689638199634,1444.1098014019956,1584.3967161000182
193,19,40,,0.25,141,0.9117559296434574,138.31149494100828,1715.1527507029825,1855.5885127719957
194,19,40,,0.25,161,0.911895925947555,137.3355981700006,1939.9858907820017,2079.393759019993
